language,typology,PMI,DD
English,SVO,2.47779725827811,11
English,SVO,1.3861065030909954,1
English,SVO,1.345156874911731,18
English,SVO,2.47779725827811,27
English,SVO,2.9851354003197836,5
English,SVO,3.5235553151039096,2
English,SVO,5.0267283489634424,1
English,SVO,3.3974178371047294,1
English,SVO,0.8957547207450375,1
English,SVO,2.3087533253442736,1
English,SVO,2.147073840948679,1
English,SVO,1.109577451748624,1
English,SVO,4.460721409091821,1
English,SVO,-0.0924834660597609,2
English,SVO,3.7678343765381976,1
English,SVO,5.901850570692691,1
English,SVO,7.271187353435566,1
English,SVO,3.1343834312709355,5
English,SVO,2.2330899408545384,1
English,SVO,2.9010953564310276,1
English,SVO,4.877685414498967,1
English,SVO,4.426185104809756,2
English,SVO,4.434176989068728,1
English,SVO,4.241298635187448,1
English,SVO,4.4605082477853975,1
English,SVO,1.934286638866101,1
English,SVO,1.1837088508181397,3
English,SVO,4.105814279074164,1
English,SVO,6.6768261547121615,1
English,SVO,3.046920590020596,1
English,SVO,3.0734851246761505,1
English,SVO,2.7344528243823003,3
English,SVO,2.585194953340564,1
English,SVO,-0.06995443703938341,3
English,SVO,2.327261785152216,2
English,SVO,-0.45994117265391193,1
English,SVO,3.9700555350207445,1
English,SVO,3.0255475157409477,20
English,SVO,4.05693347605102,2
English,SVO,3.5952653230195053,7
English,SVO,2.1767592240641847,1
English,SVO,3.9700555350207445,1
English,SVO,3.0255475157409477,20
English,SVO,3.921305859788997,6
English,SVO,1.6159671797466166,1
English,SVO,5.913357877283645,2
English,SVO,2.569764912770958,1
English,SVO,1.960245800736316,12
English,SVO,2.2962640943546226,1
English,SVO,5.496453760622049,4
English,SVO,1.9017226744806606,1
English,SVO,-0.45994117265391193,4
English,SVO,3.9359816009262154,1
English,SVO,4.314256075327453,1
English,SVO,2.3042777413186335,1
English,SVO,2.4438231632907077,2
English,SVO,4.183475565417161,1
English,SVO,1.4034692775105058,8
English,SVO,0.44015932935837343,4
English,SVO,5.901850570692691,1
English,SVO,3.2863865247159856,1
English,SVO,2.1759575961331445,1
English,SVO,2.8290408763374835,1
English,SVO,0.2468581605293483,3
English,SVO,6.148731485253334,1
English,SVO,1.9975434905722182,1
English,SVO,-1.65803147076272,4
English,SVO,2.1469757951407042,1
English,SVO,-0.00025114296942662566,3
English,SVO,-1.1710898628830588,4
English,SVO,5.901850570692691,1
English,SVO,3.620262111328314,1
English,SVO,3.0360781832331174,12
English,SVO,0.5600584385959604,2
English,SVO,1.953325315203585,1
English,SVO,3.2096858182483574,1
English,SVO,4.8518382821887975,1
English,SVO,0.44015932935837343,5
English,SVO,5.29643104498002,2
English,SVO,4.460721409091821,2
English,SVO,5.07348512467615,1
English,SVO,-0.00025114296942662566,2
English,SVO,2.9440915326934705,1
English,SVO,5.351911580926926,12
English,SVO,3.458818381768873,1
English,SVO,3.8197285324303674,1
English,SVO,1.6205393710260034,3
English,SVO,3.1000021979429055,2
English,SVO,4.69497350142242,1
English,SVO,0.5018251730105001,1
English,SVO,1.7394158720354327,1
English,SVO,9.5366484966639,1
English,SVO,2.964588022915698,3
English,SVO,1.950624573904679,1
English,SVO,3.1006004900240556,1
English,SVO,3.1516611104443313,1
English,SVO,2.964588022915698,2
English,SVO,3.7006721707605,1
English,SVO,2.632500668118921,1
English,SVO,1.6787029350945792,1
English,SVO,0.7911776643529921,2
English,SVO,1.7770647025917368,3
English,SVO,1.78200279372012,1
English,SVO,3.3544451654431517,1
English,SVO,3.0813865197755588,2
English,SVO,1.960245800736316,9
English,SVO,1.5919276454637117,1
English,SVO,4.76355783076489,2
English,SVO,1.824781194582524,2
English,SVO,1.8147508562759822,3
English,SVO,-2.17690569857965,1
English,SVO,6.011598090481163,1
English,SVO,3.327028509213331,1
English,SVO,9.5366484966639,1
English,SVO,2.964588022915698,2
English,SVO,2.632500668118921,1
English,SVO,4.285109729667936,1
English,SVO,4.001023388257204,3
English,SVO,1.7782386086454938,1
English,SVO,4.063994103379537,1
English,SVO,0.8819585595492244,22
English,SVO,1.8486279365368916,1
English,SVO,3.3974178371047294,1
English,SVO,-0.789926456393253,1
English,SVO,0.8819585595492244,25
English,SVO,1.8486279365368916,1
English,SVO,3.3974178371047294,1
English,SVO,3.384985019846583,1
English,SVO,7.659606461173241,1
English,SVO,-0.38352195256812766,5
English,SVO,1.8097666908472663,2
English,SVO,4.884805355481407,1
English,SVO,4.741216741982116,3
English,SVO,0.5018251730105001,1
English,SVO,1.7394158720354327,1
English,SVO,9.5366484966639,1
English,SVO,2.964588022915698,2
English,SVO,0.964493772243365,4
English,SVO,2.290137647176927,2
English,SVO,4.848940433775188,3
English,SVO,2.083639393925848,3
English,SVO,3.648956604100694,5
English,SVO,3.570984784146967,1
English,SVO,5.706573498106214,2
English,SVO,-0.9767522389637714,21
English,SVO,3.570984784146967,1
English,SVO,2.330910237161514,3
English,SVO,-1.9165758512925817,1
English,SVO,-0.9767522389637714,18
English,SVO,2.4690019358360416,1
English,SVO,2.356774840207217,1
English,SVO,3.3105725732315583,1
English,SVO,2.8796991253291844,1
English,SVO,1.6110547511528075,18
English,SVO,1.2699305887342125,1
English,SVO,1.7782386086454938,1
English,SVO,2.4690019358360416,1
English,SVO,2.330598423488784,1
English,SVO,2.2648210467037413,2
English,SVO,1.457207957724069,1
English,SVO,3.090222587851367,2
English,SVO,2.652960848718381,3
English,SVO,1.950624573904679,1
English,SVO,3.793899070217226,2
English,SVO,4.539391263727439,1
English,SVO,1.4860578571521834,1
English,SVO,0.9424674659133659,1
English,SVO,5.226440970605484,1
English,SVO,1.6787029350945792,1
English,SVO,2.290137647176927,1
English,SVO,4.848940433775188,2
English,SVO,2.954428763006283,1
English,SVO,0.5018251730105001,1
English,SVO,1.7394158720354327,1
English,SVO,9.5366484966639,1
English,SVO,2.964588022915698,2
English,SVO,0.964493772243365,4
English,SVO,2.636647564349514,2
English,SVO,3.267667692203093,3
English,SVO,1.0530984498760774,1
English,SVO,3.1060506046214966,1
English,SVO,-0.1951263883692007,1
English,SVO,2.1587663155481507,2
